,time,open,high,low,close,volume
0,2022-06-29 19:23:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,531
1,2022-06-29 18:52:00,133.7656437339347,133.77515156275933,133.7656437339347,133.77515156275933,369
2,2022-06-29 18:48:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,954
3,2022-06-29 18:23:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,5919
4,2022-06-29 17:42:00,133.77515156275933,133.77515156275933,133.77515156275933,133.77515156275933,101
5,2022-06-29 17:40:00,133.54696367096787,133.54696367096787,133.54696367096787,133.54696367096787,400
6,2022-06-29 17:35:00,133.77505648447112,133.77505648447112,133.77505648447112,133.77505648447112,101
7,2022-06-29 17:32:00,133.82269070688258,133.82269070688258,133.82269070688258,133.82269070688258,100
8,2022-06-29 16:14:00,133.49942452684462,133.49942452684462,133.49942452684462,133.49942452684462,275
9,2022-06-29 16:11:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,3619
10,2022-06-29 16:10:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,205445
11,2022-06-29 16:09:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,10214
12,2022-06-29 16:08:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,3025
13,2022-06-29 16:07:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,2440
14,2022-06-29 16:00:00,133.784659391584,133.784659391584,133.784659391584,133.784659391584,21778
15,2022-06-29 15:59:00,133.97006205366458,133.97481596807688,133.71810458981145,133.784659391584,91385
16,2022-06-29 15:58:00,133.88924550865508,133.98432379690152,133.88924550865508,133.97481596807688,32171
17,2022-06-29 15:57:00,133.7085967609868,133.89875333747975,133.70850168269857,133.87973767983044,25977
18,2022-06-29 15:56:00,133.7085967609868,133.7276124186361,133.68958110333756,133.7038428465745,27704
19,2022-06-29 15:55:00,133.6800732745129,133.73712024746075,133.65421198010986,133.71810458981145,35421
20,2022-06-29 15:54:00,133.6420419592143,133.7228585042238,133.61351847274037,133.67531936010056,26540
21,2022-06-29 15:53:00,133.77515156275933,133.81318287805794,133.66105761686362,133.67056544568825,19842
22,2022-06-29 15:52:00,133.84170636453186,133.8512141933565,133.7656437339347,133.784659391584,14272
23,2022-06-29 15:51:00,133.79416722040864,133.89875333747975,133.784659391584,133.84170636453186,21443
24,2022-06-29 15:50:00,133.784659391584,133.88924550865508,133.77515156275933,133.81318287805794,36066
25,2022-06-29 15:49:00,133.73712024746075,133.7656437339347,133.69433501774986,133.7656437339347,12204
26,2022-06-29 15:48:00,133.71810458981145,133.784659391584,133.7085967609868,133.7466280762854,11470
27,2022-06-29 15:47:00,133.79416722040864,133.79416722040864,133.73712024746075,133.73712024746075,10920
28,2022-06-29 15:46:00,133.82269070688258,133.84170636453186,133.7894133059963,133.80367504923328,10538
29,2022-06-29 15:45:00,133.81318287805794,133.84170636453186,133.784659391584,133.82269070688258,13631
30,2022-06-29 15:44:00,133.784659391584,133.81793679247025,133.77515156275933,133.80367504923328,6319
31,2022-06-29 15:43:00,133.81318287805794,133.8321985357072,133.77515156275933,133.77515156275933,9732
