Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,61.660000,63.375000,61.525002,63.375000,36.081379,4358200
2003-01-03,63.125000,63.369999,62.865002,63.134998,35.944752,2754400
2003-01-06,62.849998,63.695000,62.759998,63.595001,36.206638,3824600
2003-01-07,63.150002,63.924999,63.150002,63.535000,36.172489,4320600
2003-01-08,63.400002,63.400002,62.580002,62.849998,35.782482,4605600
2003-01-09,63.000000,63.900002,62.779999,63.845001,36.348972,3804000
2003-01-10,63.200001,63.689999,62.924999,63.310001,36.044388,3984000
2003-01-13,63.299999,63.990002,62.755001,63.270000,36.021610,3172800
2003-01-14,63.349998,64.125000,63.174999,63.990002,36.431515,4068200
2003-01-15,63.994999,64.150002,63.160000,63.509998,36.158253,3286200
2003-01-16,63.825001,63.985001,63.110001,63.325001,36.052921,3131600
2003-01-17,62.799999,63.230000,62.590000,63.160000,35.958984,4052600
2003-01-21,63.450001,63.615002,62.630001,62.820000,35.765408,4441400
2003-01-22,62.825001,64.059998,62.825001,63.750000,36.294891,6220800
2003-01-23,63.750000,64.570000,63.549999,64.485001,36.713356,5275200
2003-01-24,64.125000,64.290001,63.125000,63.174999,35.967522,4780000
2003-01-27,62.950001,63.590000,62.529999,62.540001,35.605984,4903400
2003-01-28,62.625000,63.025002,62.424999,62.915001,35.819496,3648200
2003-01-29,62.660000,63.549999,61.680000,63.299999,36.038677,4736000
2003-01-30,63.174999,63.445000,61.955002,61.955002,35.272926,5023800
2003-01-31,61.830002,63.209999,61.805000,62.275002,35.455120,5861800
2003-02-03,62.805000,62.994999,62.264999,62.494999,35.580376,5096000
2003-02-04,62.150002,62.250000,61.224998,61.549999,35.042355,5291400
2003-02-05,61.990002,62.555000,61.500000,61.570000,35.053757,4242800
2003-02-06,61.689999,61.924999,61.195000,61.509998,35.019600,3813000
2003-02-07,61.750000,61.970001,61.035000,61.240002,34.865852,3598600
2003-02-10,61.240002,61.990002,60.834999,61.834999,35.204624,3698600
2003-02-11,62.244999,62.480000,61.500000,61.540001,35.036655,3663000
2003-02-12,61.724998,62.025002,61.119999,61.125000,34.800385,3754000
2003-02-13,61.250000,61.584999,60.125000,61.205002,34.845924,5132000
2003-02-14,61.595001,62.560001,61.165001,62.544998,35.608852,6224000
2003-02-18,62.564999,63.744999,62.564999,63.305000,36.041527,5251800
2003-02-19,63.310001,63.369999,62.404999,62.935001,36.018639,3434400
2003-02-20,63.000000,63.044998,62.250000,62.424999,35.726757,3551200
2003-02-21,62.750000,63.424999,62.325001,63.424999,36.299084,5295200
2003-02-24,63.430000,63.430000,62.415001,62.509998,35.775402,3945000
2003-02-25,62.514999,62.849998,61.535000,62.849998,35.969986,5993600
2003-02-26,62.849998,63.000000,62.279999,62.400002,35.712456,3870000
2003-02-27,62.799999,63.340000,62.419998,63.090000,36.107342,4367400
2003-02-28,63.205002,63.525002,62.125000,62.685001,35.875557,4763600
2003-03-03,62.924999,63.500000,62.380001,62.380001,35.701008,3150400
2003-03-04,62.424999,62.529999,61.599998,61.849998,35.397682,4286200
2003-03-05,61.924999,62.560001,61.584999,62.549999,35.798302,4691400
2003-03-06,62.424999,62.570000,61.514999,61.740002,35.334724,4685000
2003-03-07,61.500000,62.430000,61.165001,62.250000,35.626614,5674600
2003-03-10,61.799999,62.020000,60.740002,60.840000,34.819637,4439000
2003-03-11,60.840000,61.415001,60.480000,60.505001,34.627926,4989400
2003-03-12,60.584999,60.869999,59.730000,60.730000,34.756687,5866200
2003-03-13,61.500000,62.755001,61.255001,62.715000,35.892727,6831800
2003-03-14,62.849998,63.334999,62.360001,62.775002,35.927078,5838400
2003-03-17,62.650002,64.824997,62.264999,64.750000,37.057384,7795200
2003-03-18,64.230003,64.985001,64.125000,64.985001,37.191895,6156400
2003-03-19,64.985001,64.985001,63.985001,64.864998,37.123211,5885200
2003-03-20,64.864998,65.614998,63.884998,65.305000,37.375042,7166800
2003-03-21,65.724998,67.474998,65.305000,67.184998,38.450981,9234600
2003-03-24,66.050003,66.309998,65.144997,65.290001,37.366444,7008000
2003-03-25,65.290001,66.695000,65.144997,66.150002,37.858650,6462400
2003-03-26,66.154999,66.184998,65.379997,65.864998,37.695518,4827200
2003-03-27,65.275002,66.309998,64.940002,65.830002,37.675491,4418600
2003-03-28,65.830002,65.959999,65.025002,65.254997,37.346413,3907800
