time,sum_value,count_value,volatility
2021-06-07,5.2118565682316986e-05,410,0.0003565367482934963
2021-06-08,0.00015423668332278494,408,0.0006148423265971962
2021-06-09,6.695903898555043e-05,410,0.00040412217117234467
2021-06-10,0.00014512602515355028,418,0.0005892295373924887
2021-06-11,0.00011110296070913488,417,0.000516172411636941
2021-06-14,7.786855717371185e-05,406,0.00043794346187301373
2021-06-15,6.124443659944e-05,404,0.00038935220571819517
2021-06-16,0.0001551098158887116,406,0.0006180969838943478
2021-06-17,0.00014150856512425532,416,0.0005832365043532762
2021-06-18,0.0002949410111187652,436,0.0008224780902783937
2021-06-21,0.00013462825889909278,423,0.0005641543366851771
2021-06-22,0.00012260902108112573,403,0.0005515802272558068
2021-06-23,8.11048217241877e-05,418,0.00044048913037816304
2021-06-24,7.99126367708848e-05,412,0.0004404119782759589
2021-06-25,9.831291173532721e-05,416,0.00048613693003965734
2021-06-28,7.797295127700352e-05,410,0.00043609394623625653
2021-06-29,0.00011617343560605985,400,0.0005389189076430234
2021-06-30,5.621345453154234e-05,407,0.00037164041209292
2021-07-01,0.00025754435736507656,400,0.000802409430037242
2021-07-02,0.0004505243857980937,477,0.0009718516181552039
2021-07-06,0.00015174488059848895,445,0.0005839518230830328
2021-07-07,0.0002554671135616592,428,0.0007725838332179046
2021-07-08,0.0003658615633381966,443,0.0009087753316811735
2021-07-09,8.44848873877127e-05,422,0.0004474384370471389
2021-07-12,0.00015401421519840625,411,0.000612152309972277
2021-07-13,0.0001089915180257107,411,0.0005149623046835935
2021-07-14,0.00020587700022890428,408,0.0007103523708393732
2021-07-15,0.00010289653504955312,404,0.0005046725608620035
2021-07-16,0.00018888784066276344,426,0.0006658818866749509
2021-07-19,0.0008973505236005365,607,0.0012158688011793374
2021-07-20,0.0007027275023986355,576,0.0011045419978423776
2021-07-21,0.00019617146705496515,435,0.0006715421727498051
2021-07-22,9.33816447096449e-05,408,0.00047841047247180774
2021-07-23,0.00010896539697766377,410,0.0005155281378558605
2021-07-26,0.00015167119691840027,405,0.0006119614224071387
2021-07-27,0.00014819883000029773,414,0.0005983044278680513
2021-07-28,0.0001250576538646814,406,0.0005549988990906433
2021-07-29,8.906512900683224e-05,419,0.0004610487396690668
2021-07-30,0.00011079468772028691,411,0.000519204631567446
2021-08-02,9.387841825696246e-05,407,0.00048027024092365026
2021-08-03,0.00011740076981498115,410,0.0005351105876472163
2021-08-04,0.00010573262926705201,413,0.0005059755022518981
2021-08-05,7.620519399949207e-05,410,0.00043112217158020234
2021-08-06,7.43475952841472e-05,430,0.00041581412239333296
2021-08-09,0.00010292984563683569,431,0.0004886883947724087
2021-08-10,8.578380401796495e-05,411,0.00045685853150101896
2021-08-11,8.108260200507661e-05,398,0.00045135920359068964
2021-08-12,4.887741077122581e-05,404,0.00034782709789173507
2021-08-13,5.18776806496987e-05,398,0.0003610345292082878
2021-08-16,7.659732434397876e-05,403,0.00043596766203742574
2021-08-17,9.332258227752253e-05,406,0.0004794356860291408
2021-08-18,0.00020315452754591392,417,0.0006979836109918504
2021-08-19,0.00014425063576571512,422,0.0005846590041242761
2021-08-20,0.00014672567106079363,410,0.0005982202691251606
2021-08-23,0.00015253269184294018,408,0.0006114365354392485
2021-08-24,9.485973844921148e-05,408,0.00048218187330523513
2021-08-25,7.431113572639546e-05,405,0.0004283506574573994
2021-08-26,9.13471764162249e-05,400,0.0004778785839944726
2021-08-27,4.873909000248904e-05,398,0.00034994288838592223
2021-08-30,7.715634389880028e-05,402,0.0004380995363252042
2021-08-31,0.00011595415245627092,409,0.0005324532704596304
2021-09-01,6.796360697746829e-05,406,0.0004091430639061754
2021-09-02,9.428799979565237e-05,401,0.0004849042885626655
2021-09-03,7.659660229979204e-05,406,0.0004343519103436662
2021-09-07,6.372713156444026e-05,408,0.0003952138027863447
2021-09-08,9.114023914995568e-05,409,0.00047205589768351474
2021-09-09,0.00020383894721076018,413,0.0007025359584444128
2021-09-10,0.00011219168905540216,414,0.0005205712420103686
2021-09-13,9.91135362571289e-05,407,0.0004934796876325993
2021-09-14,8.931803005622257e-05,412,0.0004656085642338625
2021-09-15,0.00013753664244827655,409,0.0005798925843714412
2021-09-16,8.212914368808247e-05,401,0.0004525603077379373
2021-09-17,0.00017520258943312797,421,0.0006451032240462671
2021-09-20,0.0003132992138986333,440,0.0008438267997352533
2021-09-21,0.00020966352637109256,440,0.000690295599348392
2021-09-22,0.00015232023149518398,403,0.0006147892606215911
2021-09-23,0.000117334717162,416,0.0005310881363413233
2021-09-24,0.00013272869516478558,417,0.0005641757111123077
2021-09-27,0.0001274957196567198,405,0.0005610741894491091
2021-09-28,0.00023967102978069213,414,0.0007608649885960301
2021-09-29,0.00011479926192563813,410,0.0005291485611986766
2021-09-30,0.0003055568425779965,439,0.0008342836772729052
2021-10-01,0.00044065011043800987,436,0.0010053185519589632
2021-10-04,0.0003825911951795785,431,0.0009421690864296154
2021-10-05,0.0004091137079714538,451,0.0009524314874550854
2021-10-06,0.0002573836895450133,442,0.000763096350203957
2021-10-07,0.0001267329636787321,409,0.0005566511896077879
2021-10-08,0.00011670781676015702,408,0.000534835087190978
2021-10-11,9.862222165536695e-05,420,0.0004845769427708663
2021-10-12,0.00016479999833482755,404,0.0006386867682655512
2021-10-13,0.00016181448843992369,413,0.0006259413993719836
2021-10-14,9.130495145644212e-05,416,0.0004684901881423753
2021-10-15,0.00012195820440646487,411,0.0005447341466501605
2021-10-18,0.0002171834921407567,468,0.000681224846067033
2021-10-19,0.00020341156991177976,458,0.000666430840605057
