,date,returns,volatility
0,2015-07-07,-0.0035604543470707803,0.024545764463333297
1,2015-07-08,-0.054960592185369,0.024545764463333297
2,2015-07-09,-0.0068861877516867296,0.021517854899820468
3,2015-07-10,0.004386312099848493,0.050069337890370824
4,2015-07-13,0.05739696381483447,0.009148835204206143
5,2015-07-14,0.0029642408592423777,0.02243489877119108
6,2015-07-15,0.014477485892463976,0.05220884431810234
7,2015-07-16,0.028315895772382665,0.008953668405723657
8,2015-07-17,-0.00733801561829442,0.017609906414690703
9,2015-07-20,0.05165820461543555,0.026294865732887657
10,2015-07-21,-0.02917085557768964,0.021165833337804224
11,2015-07-22,-0.025804737090977886,0.048283006392231174
12,2015-07-23,-0.037714686623385424,0.02881829599302765
13,2015-07-24,-0.0013759757321340224,0.027842445431095063
14,2015-07-27,-0.01772972451797719,0.03456796431622657
15,2015-07-28,0.03160421704262281,0.00889976837306151
16,2015-07-29,0.008159736969997583,0.02057632471281559
17,2015-07-30,0.011983395749611686,0.029242968960705246
18,2015-07-31,0.005375107898329816,0.010296283912756585
19,2015-08-03,0.016566529702387006,0.012169006561798966
20,2015-08-04,-0.012338949622705903,0.009427727251308127
21,2015-08-05,0.0070762745814763875,0.016501448872218535
22,2015-08-06,-0.011858639274058641,0.012617847261748824
23,2015-08-07,0.006075640426812605,0.00935689051841728
24,2015-08-10,-0.003152407118404283,0.012110062752605953
25,2015-08-11,-0.006240621361640304,0.007642454825856822
26,2015-08-12,-0.01824014629878859,0.006310424619592101
27,2015-08-13,-0.016143673779024953,0.010225269430165796
28,2015-08-14,0.012621980644057812,0.018309323938316562
29,2015-08-17,0.014245123555836597,0.01623505525854834
30,2015-08-18,-0.02039726969943914,0.013650294708483609
31,2015-08-19,-0.022388934814679656,0.015853752197609292
32,2015-08-20,-0.03418244854338673,0.020930062670722765
33,2015-08-21,-0.05038245983189685,0.02454390876749367
34,2015-08-24,-0.01581194340743944,0.03662125800456706
35,2015-08-25,-0.032711104852035794,0.04632973930345932
36,2015-08-26,0.013164888161520588,0.019854623495134085
37,2015-08-27,0.041679932181769436,0.030465517506086233
38,2015-08-28,0.010952977726233909,0.020418204959121663
39,2015-08-31,-0.0022480291353334245,0.03829767603133584
40,2015-09-01,-0.036881023109680916,0.011588215361452577
41,2015-09-02,0.03666743373686607,0.014875556166910359
42,2015-09-03,0.00571437809105299,0.036447225539091806
43,2015-09-04,-0.03041823864077778,0.03375093801698348
44,2015-09-08,0.010780124115663176,0.013767060751057542
45,2015-09-09,-0.01066145002239996,0.028291181633041153
46,2015-09-10,-0.02793919211209897,0.01191936735802429
47,2015-09-11,0.0015803719214409753,0.015134661860376259
48,2015-09-14,0.005430204768301554,0.025814041726467375
49,2015-09-15,-0.00021785751204675494,0.006031237594569527
50,2015-09-16,-0.0019937345234412327,0.007087121663618461
51,2015-09-17,-0.014520813116578518,0.005175014110922305
52,2015-09-18,-0.013183298260860093,0.007668238346543259
53,2015-09-21,0.03850045363496432,0.014936063215138616
54,2015-09-22,-0.02773464833436226,0.019416832287702118
55,2015-09-23,0.022891860511009193,0.036725473954871704
56,2015-09-24,-0.008451208800566073,0.02715439047780668
57,2015-09-25,-0.00524291775781452,0.021666060780079505
58,2015-09-28,-0.04716058717343899,0.009550081703908324
59,2015-09-29,-0.052643951062573274,0.018981411926809834
60,2015-09-30,0.012191043316816058,0.04728510882721118
61,2015-10-01,0.012969899999946216,0.048256765362008604
62,2015-10-02,0.0408845728664434,0.01364530823311462
63,2015-10-05,-0.005991424056399992,0.019967502652893234
64,2015-10-06,-0.026211624543256568,0.037431221266539895
65,2015-10-07,0.01508384724578446,0.012670679218643791
66,2015-10-08,-0.023276914599945547,0.024917453228563858
67,2015-10-09,0.01113352180462987,0.017085312949384947
68,2015-10-12,0.01651716686120705,0.02210003304222235
69,2015-10-13,0.01681419701787909,0.012986592807592439
70,2015-10-14,0.023572072921704906,0.017021925092846706
71,2015-10-15,0.015495721618335873,0.01835326838783593
72,2015-10-16,-0.010683521242919186,0.022721784162122994
73,2015-10-19,0.014806560328708501,0.015545436285807282
74,2015-10-20,-0.0002451159924334043,0.012308881504933828
75,2015-10-21,-0.03138458611561648,0.014360559545999437
76,2015-10-22,0.026876179978257836,0.01285067015756345
77,2015-10-23,0.0046265496132971975,0.030560513465479337
78,2015-10-26,0.0394988853928587,0.025018696362316063
79,2015-10-27,-0.014921987435868728,0.016305162749609064
80,2015-10-28,0.014903406177762507,0.03654096514093251
81,2015-10-29,-0.017950043506520436,0.015742912116975233
82,2015-10-30,0.001675017864919053,0.015946929837350042
83,2015-11-02,0.025745241774629862,0.017074176478936685
84,2015-11-03,0.023197708928055588,0.011083401101700916
85,2015-11-04,-0.009052963672214004,0.025382863527226993
86,2015-11-05,-0.025060622953893136,0.02195037368484101
87,2015-11-06,-0.013991429923537885,0.013563646317550757
88,2015-11-09,0.008778853382351487,0.023839085876604226
89,2015-11-10,0.009763930863969955,0.014160466280932094
90,2015-11-11,-0.019379807377937125,0.010176766144450757
91,2015-11-12,-0.022247111341411246,0.012534338809906169
92,2015-11-13,-0.030779899536531735,0.02008616207811998
93,2015-11-16,0.029692246912365133,0.02379192282097307
94,2015-11-17,0.015602974771439543,0.030464820445009436
95,2015-11-18,-0.0008296121142902521,0.028059156370717403
96,2015-11-19,-0.001934466138358377,0.015174844582528987
97,2015-11-20,0.0035806908505758564,0.005333564304366992
98,2015-11-23,-0.023353654062583745,0.005558775272645318
99,2015-11-24,-0.013556494491821086,0.010625356416055947
