time,sum_value,count_value,volatility
2022-05-31,0.03733619268237153,850,0.006627588744596025
2022-06-01,0.05208697223751262,784,0.008150918021220926
2022-06-02,0.045235402985558164,778,0.007625168293103225
2022-06-03,0.592372959202541,848,0.026430153573665148
2022-06-06,0.4310556171674769,813,0.023026152764912947
2022-06-07,0.41862568950177087,782,0.023137133977058206
2022-06-08,0.09471651441213101,726,0.011422062794172062
2022-06-09,0.8412251243276216,820,0.03202942862369721
2022-06-10,4.760541057734538,784,0.07792380057524127
2022-06-13,12.975019668143636,907,0.11960528462577207
2022-06-14,12.094863585834831,812,0.12204569717652475
2022-06-15,9.701080875726655,822,0.1086360969106443
2022-06-16,16.6475613626184,905,0.13562851996651598
2022-06-17,13.883062353367455,808,0.1310801581593436
2022-06-21,8.979883133804078,844,0.10314878554536405
2022-06-22,9.316996918301435,837,0.10550553569593768
2022-06-23,6.6174966096607415,810,0.09038666329064111
2022-06-24,3.6380908575815467,832,0.06612643463600716
2022-06-27,2.2333691425925,789,0.05320368997409813
2022-06-28,4.036016770780165,772,0.07230491683433363
2022-06-29,4.50412084485397,736,0.07822869939331077
2022-06-30,6.945188969191365,806,0.09282704219819093
2022-07-01,6.363361710412907,794,0.08952267566911928
2022-07-05,4.185354117747323,787,0.07292538629751705
2022-07-06,2.232321537523181,764,0.054054480195621375
2022-07-07,0.8756478463732975,763,0.03387680723800992
2022-07-08,0.45185899219806447,745,0.024627670153276986
2022-07-11,0.7338190299752977,763,0.031012174288431716
2022-07-12,0.5607459628544176,767,0.027038674384238362
2022-07-13,0.7582986027127371,735,0.03212006816930815
2022-07-14,0.6167947808141574,802,0.02773212575732604
2022-07-15,0.02530073546868542,756,0.005785030795750784
2022-07-18,0.17096015848546356,826,0.014386575599789363
2022-07-19,0.11567591041756127,841,0.011727986711953952
2022-07-20,0.20490318268246666,776,0.01624963055418518
2022-07-21,0.6545857638848577,800,0.028604758430304425
2022-07-22,0.7551429547713476,777,0.03117482886337436
2022-07-25,0.4690554773701393,825,0.02384433043266233
2022-07-26,0.14896328690892327,829,0.013404862327814177
2022-07-27,0.8054782331661245,816,0.03141823798209668
2022-07-28,2.4975465829192616,867,0.053671934623483825
2022-07-29,5.156511771192044,865,0.07720936008422216
2022-08-01,4.448245217789152,750,0.07701294452050818
2022-08-02,3.73209691153532,810,0.06787876730818093
2022-08-03,6.242199255822876,759,0.09068760358379697
2022-08-04,7.578212770879453,764,0.09959481243244941
2022-08-05,6.443610888401092,700,0.09594351677941329
2022-08-08,7.647908103059516,752,0.10084686689520475
2022-08-09,6.614342718001519,735,0.09486361651749092
2022-08-10,9.710644961763947,750,0.1137871988216832
2022-08-11,11.30742585948502,753,0.12254183695956657
2022-08-12,13.752186927783775,794,0.13160598265182652
2022-08-15,15.371136136940395,778,0.14056046525233984
2022-08-16,16.49002721552626,792,0.14429394108466675
2022-08-17,18.69697671319282,851,0.14822481382231187
2022-08-18,18.153454646526573,805,0.15016948870293223
2022-08-19,16.403740909520987,855,0.13851231671761427
2022-08-22,11.491680730390069,833,0.11745439579046961
2022-08-23,9.508309199905815,753,0.11237097780682241
2022-08-24,9.610874328467059,765,0.11208583503858464
2022-08-25,11.384979662534612,763,0.1221529221346005
2022-08-26,8.950082413102928,803,0.1055737005270135
2022-08-29,4.76160442803115,836,0.07546985541653227
2022-08-30,3.7814775431634686,814,0.06815827027827312
2022-08-31,2.818396977218442,839,0.05795889564414565
2022-09-01,1.7524672272719428,828,0.046005503074418884
2022-09-02,2.0544807267295266,760,0.05199292369272763
2022-09-06,1.1787764828696339,820,0.03791480312730742
2022-09-07,1.0430495434576224,797,0.03617623015084288
2022-09-08,0.8492863123133707,794,0.03270520014101261
2022-09-09,1.6047019985618591,806,0.04462001129140362
2022-09-12,5.274281076765881,863,0.07817650259665955
2022-09-13,2.9163789495067087,870,0.057897838578626376
2022-09-14,1.04174911504759,843,0.03515343617328965
2022-09-15,0.5061528538583379,840,0.024547157091197466
2022-09-16,0.028597489793709376,819,0.00590910906615279
2022-09-19,0.35723692996836126,828,0.020771267837920708
2022-09-20,1.2686203459593979,828,0.039142689946904084
2022-09-21,1.3684035516075903,842,0.040313550641560704
2022-09-22,0.3685093870482959,830,0.021071004088823102
2022-09-23,0.02671682293952939,839,0.005643017871906591
2022-09-26,0.07521015402792851,826,0.009542193418686444
2022-09-27,0.2294401522906168,813,0.016799232406855776
2022-09-28,0.26895949116168577,931,0.0169968560674604
2022-09-29,1.7193573392045398,907,0.04353909823592984
2022-09-30,3.6720385228132684,890,0.06423305987331653
2022-10-03,3.735713974968379,855,0.06610034879691731
2022-10-04,0.7690896358419679,853,0.030027139655246803
2022-10-05,0.7634861574982901,792,0.031048311928492216
2022-10-06,0.6165289054909225,801,0.027743449823400185
2022-10-07,2.638601624216973,755,0.059117142931360035
2022-10-10,3.515735505383209,799,0.06633377415556244
2022-10-11,3.959227194961027,801,0.07030544377514986
2022-10-12,4.09695678125829,770,0.0729432868230054
2022-10-13,3.90734307677411,792,0.07023897768209542
2022-10-14,3.789258044204514,850,0.06676788629453986
2022-10-17,2.6203314195095238,838,0.05591857594264085
2022-10-18,1.1470867243500884,877,0.03616582113564065
2022-10-19,1.7288190065077182,854,0.04499309088916646
2022-10-20,1.3783601851463012,784,0.04192985190832369
2022-10-21,0.9436921793804814,780,0.03478306726607811
2022-10-24,0.1664883424150237,855,0.01395432576310843
2022-10-25,0.07166152803538424,842,0.0092254378286296
2022-10-26,0.04520635145355397,885,0.007147070946294042
